legal_entity_abbr;legal_entity_stan;legal_entity_full;country;source
ÖSHZ;ÖSHZ;Öffentliches Sozialhilfezentrum;BE;
osk;OSK;Osuuskunta;FI;
OTH;OTH;Άλλη νομική μορφή;CY;
Other;OTHER;Λοιπά;GR;
OÜ;OÜ;Osaühing;EE;
OVV;OVV;Caisse commune d'assurances de droit privé;BE;
OVV PR;OVV PR;Onderlinge verzekeringsvereniging van publiek recht;BE;
OWM;OWM;Onderlinge waarborgmaatschappij;NL;
oy;OY;Osakeyhtiö;FI;
oyj;OYJ;Osakeyhtiö;FI;
PA;PA;PUBBLICA AMMINISTRAZIONE;IT;
PAJ;PAJ;Paju sabiedrība;LV;
PAP;PAP;Sabiedrība ar papildu atbildību;LV;
PAR;PAR;Pārstāvniecība;LV;
PartG;PARTG;Partnerschaftsgesellschaft;DE;
PCC;PCC;Protected cell company;MT;
PCDP;PCDP;Pessoa Coletiva de Direito Público;PT;
PCOMM;PCOMM;En commandite;MT;
PCR;PCR;Pessoa Colectiva Religiosa;PT;
PDB;PDB;Privačių detektyvų bendrija;LT;
PETR;PETR;Pôle d'équilibre territorial et rural;FR;
PF;PF;Ταμεία Προνοίας;CY;
PGmbH;PGMBH;Privatgesellschaft mit beschränkter Haftung;BE;
PIETE;PIETE;Monts-de-Piété;BE;
PL;PL;Νομικά Πρόσωπα Δημοσίου Δικαίου;GR;
PLC;PLC;Δημόσια Εταιρεία | Public Limited Company |Public Limited Company;CY | IE | MT;
PmbHsZ;PMBHSZ;Privatgesellschaft mit beschränkter Haftung mit sozialer Zielsetzung;BE;
POD;POD;Programmatorische federale overheidsdienst;BE;
POLLOC;POLLOC;Police locale;BE;
PP;PP;Politinė partija;LT;
PPEU;PPEU;Europese politieke partij | Parti politique européen;BE;
PR;PR;Prekybos, pramonės ir amatų rūmai;LT;
PRIV ST;PRIV ST;Private stichting;BE;
Prjverng;PRJVERNG;Projektvereinigung;BE;
PROJ V;PROJ V;Projectvereniging;BE;
Provbehö;PROVBEHÖ;Provinzialbehörde;BE;
PROVOVER;PROVOVER;Provinciale overheid;BE;
PRRFmRP;PRRFMRP;Andere privatrechtliche Rechtsform mit Rechtspersönlichkeit;BE;
PrSt;PRST;Privatstiftung;BE;
PRV;PRV;Andere privaatrechtelijke vorm met rechtspersoonlijkheid;BE;
PRVGaG;PRVGAG;Onderlinge verzekeringsvereniging;BE;
PS;PS;Profesinė sąjunga ar susivienijimas | Pilnsabiedrība;LT | LV;
PSV;PSV;Pašvaldības uzņēmums;LV;
PUBLaw;PUBLAW;Οντότητες που διέπονται από το δημόσιο δίκαιο;CY;
PW;PW;Polder - wateringue | Polder - Watering;BE;
RA;RA;Regie autonomă;RO;
RB;RB;Religinė bendruomenė ar bendrija;LT;
RBH;RBH;Behörde der Region Brüssel-Hauptstadt;BE;
RCOMAUT;RCOMAUT;Régie communale autonome;BE;
REGBRXCA;REGBRXCA;Autorité de la Région de Bruxelles-Capitale;BE;
REGCOMNL;REGCOMNL;Autorité de la Région flamande et de la Communauté flamande;BE;
REL;REL;Reliģiskas organizācijas uzņēmums;LV;
RFmsZ;RFMSZ;Andere öffentlich-rechtliche Rechtsform mit sozialer Zielsetzung;BE;
RKOA;RKOA;Riigi ja kohaliku omavalitsuse asutused;EE;
RPROVAUT;RPROVAUT;Régie provinciale autonome;BE;
Rt;RT;Részvénytársaság;HU;
RTK;RTK;Lietuvos radijo ir televizijos komisija;LT;
RW;RW;Autorité de la Région wallonne;BE;
S Agr;S AGR;Société agricole;BE;
S COM PA;S COM PA;Sociedad Comanditaria por acciones;ES;
S COOP;S COOP;Sociedad Cooperativa;ES;
S EN C o S COM;S EN C O S COM;Sociedad Comanditaria Simple;ES;
SA;SA;spółki akcyjne | Société anonyme | Sociedade Anónima | Societate pe acţiuni | Société anonyme | Ανώνυμη Εταιρεία | Sociedad Anónima | Sihtasutus;PL | LU | PT |RO | BE | GR | ES |EE;
SA de CV;SA DE CV;Sociedad Anónima de Capital Variable;FR | ...;Wikipedia
SA DPU;SA DPU;Société anonyme de droit public;BE;
SA FS;SA FS;Société anonyme à finalité sociale;BE;
SA LABORAL;SA LABORAL;Sociedad Anónima Laboral;ES;
