stopword;stop_type;origin
the baltic exchange;stock exchanges;own
the cazenove mtf;stock exchanges;own
the montreal exchange / bourse de montreal;stock exchanges;own
tirana stock exchange;stock exchanges;own
tmx group;stock exchanges;own
tokyo aim;stock exchanges;own
tokyo commodity exchange;stock exchanges;own
tokyo financial exchange;stock exchanges;own
tokyo grain exchange;stock exchanges;own
tokyo stock exchange;stock exchanges;own
tokyo stock exchange - tostnet-1;stock exchanges;own
tokyo stock exchange - tostnet-2;stock exchanges;own
tokyo stock exchange - tostnet-3;stock exchanges;own
tom mtf cash markets;stock exchanges;own
tom mtf derivatives market;stock exchanges;own
toronto futures exchange;stock exchanges;own
toronto options exchange;stock exchanges;own
toronto stock exchange;stock exchanges;own
towarowa gielda energii s.a.;stock exchanges;own
towarowa gielda energii s.a. (polish power exchange);stock exchanges;own
toyohashi kanken torihikijo - chubu commodity exchange;stock exchanges;own
toyohashi kanken torihikijo (dried cocoon exchange) - chubu commodity exchange;stock exchanges;own
tradegate exchange - freiverkehr;stock exchanges;own
tradegate exchange - regulierter markt;stock exchanges;own
trinidad and tobago stock exchange;stock exchanges;own
tsx venture exchange;stock exchanges;own
tsx venture exchange - nex;stock exchanges;own
turkish derivatives exchange;stock exchanges;own
uganda securities exchange;stock exchanges;own
ukrainian exchange;stock exchanges;own
ukrainian stock exchange;stock exchanges;own
ukrainian universal commodity exchange;stock exchanges;own
ukranian exchange;stock exchanges;own
united stock exchange;stock exchanges;own
us futures exchange;stock exchanges;own
uzbek commodity exchange;stock exchanges;own
uzbekistan republican currency exchange;stock exchanges;own
vancouver stock exchange;stock exchanges;own
varazdin stock exchange;stock exchanges;own
vienna stock exchange;stock exchanges;own
vladivostok (russia) stock exchange;stock exchanges;own
vladivostok stock exchange;stock exchanges;own
warsaw stock exchange;stock exchanges;own
wiener boerse ag, cegh gas exchange;stock exchanges;own
wiener boerse ag, wertpapierboerse (securities exchange);stock exchanges;own
yokohama commodity exchange;stock exchanges;own
zagreb stock exchange;stock exchanges;own
zagreb stock exchange mtf;stock exchanges;own
zhengzhou commodity exchange;stock exchanges;own
zimbabwe stock exchange;stock exchanges;own
zobex;stock exchanges;own
zurcher kantonalbank securities exchange;stock exchanges;own
sensex;stock exchanges;own
euronext nv;stock exchanges;own
clearstream;stock exchanges;own
euronextliffe;stock exchanges;own
euronext liffe;stock exchanges;own
fedwire;stock exchanges;own
eurofirst;stock exchanges;own
nyse euronext;stock exchanges;own
euronext;stock exchanges;own
eurofirst 300 index;stock exchanges;own
eurosox;stock exchanges;own
