occurance;type;le_name;le_stand;source
End;full;fondation privée;FONDPRIV;ECB
End;abbr;fondpriv;FONDPRIV;ECB
End;full;föderaler öffentlicher programmierungsdienst;FÖP;ECB
End;abbr;föp;FÖP;ECB
End;full;autre forme à finalité sociale de droit public;FORME FS;ECB
End;abbr;forme fs;FORME FS;ECB
End;full;europese politieke stichting;FPEU;ECB
End;full;fondation politique européenne;FPEU;ECB
End;abbr;fpeu;FPEU;ECB
End;abbr;fragemee;FRAGEMEE;ECB
End;full;overheid van de franse gemeenschap;FRAGEMEE;ECB
End;full;behörde der französischen gemeinschaft;FRG;ECB
End;abbr;frg;FRG;ECB
End;full;fondation d'utilité publique;FUP;ECB
End;abbr;fup;FUP;ECB
End;abbr;gaec;GAEC;ECB
End;full;groupement agricole d'exploitation en commun;GAEC;ECB
End;abbr;gar;GAR;ECB
End;full;gesellschaft des allgemeinen rechts;GAR;ECB
End;abbr;gbg;GBG;ECB
End;full;in gründung befindliche gesellschaft;GBG;ECB
End;abbr;gbhsz;GBHSZ;ECB
End;full;genossenschaft mit beschränkter haftung mit sozialer zielsetzung;GBHSZ;ECB
End;abbr;gbr;GBR;ECB
End;full;gesellschaft bürgerlichen rechts;GBR;ECB
End;abbr;gcw so;GCW SO;ECB
End;full;gewone commanditaire vennootschap met een sociaal oogmerk;GCW SO;ECB
End;abbr;geie;GEIE;ECB
End;full;groupement européen d'intérêt économique;GEIE;ECB
End;full;commune;GEMEENTE;ECB
End;abbr;gemeente;GEMEENTE;ECB
End;abbr;gemeinde;GEMEINDE;ECB
End;full;stad;GEMEINDE;ECB
End;full;erwerbs- und wirtschaftsgenossenschaft;GEN;ECB
End;abbr;gen;GEN;ECB
End;abbr;genmbh;GENMBH;ECB
End;full;genossenschaft mit beschränkter haftung;GENMBH;ECB
End;abbr;genmubh;GENMUBH;ECB
End;full;genossenschaft mit unbeschränkter haftung;GENMUBH;ECB
End;abbr;gie;GIE;ECB
End;full;groupement d'intérêt économique;GIE;ECB
End;full;grupul de interes economic;GIE;ECB
End;abbr;gie fs;GIE FS;ECB
End;full;groupement d'intérêt économique à finalité sociale;GIE FS;ECB
End;abbr;gim;GIM;ECB
End;full;ģimenes uzņēmums;GIM;ECB
End;abbr;gip;GIP;ECB
End;full;groupement d'intérêt public;GIP;ECB
End;abbr;giu;GIU;ECB
End;full;gospodarsko interesno udruženje;GIU;ECB
End;abbr;giz;GIZ;ECB
End;full;gospodarsko interesno združenje giz;GIZ;ECB
End;abbr;gesellschaft mbh;GMBH;OWN
End;full;gesellschaft mit beschränkter haftung;GMBH;ECB
End;abbr;gmbh;GMBH;ECB
End;abbr;gmbh and company;GMBH & CO;OWN
End;full;gesellschaft mit beschränkter haftung & compagnie kommanditgesellschaft;GMBH & CO KG;ECB
End;abbr;gmbh & co kg;GMBH & CO KG;ECB
End;abbr;gmbh and company kg;GMBH & CO KG;OWN
End;abbr;gmbh company kg;GMBH & CO KG;OWN
End;abbr;gmbh co kg;GMBH & CO KG;OWN
End;abbr;gmbh co kommanditgesellschaft;GMBH & CO KG;OWN
End;abbr;gmbh and company kgaa;GMBH & CO KG AA;OWN
End;abbr;gmbh company kgaa;GMBH & CO KG AA;OWN
End;abbr;gmbh co kgaa;GMBH & CO KG AA;OWN
End;full;gesellschaft mit beschränkter haftung & compagnie kommanditgesellschaft an aktien;GMBH & CO KG AA;ECB
End;abbr;gmbh & co kgaa;GMBH & CO KG AA;ECB
End;full;gesellschaft mit beschränkter haftung & compagnie offene handelsgesellschaft;GMBH & CO OHG;ECB
End;abbr;gmbh & co ohg;GMBH & CO OHG;ECB
End;abbr;gmuhgb;GMUHGB;ECB
End;full;öffentlich-rechtliche genossenschaft mit unbeschränkter haftung, genossenschaft auf beteiligung;GMUHGB;ECB
End;full;gemeinnützige stiftung;GNS;ECB
End;abbr;gns;GNS;ECB
End;full;genossenschaft mit unbeschränkter haftung mit sozialer zielsetzung;GUHSZ;ECB
